代號,校名,系名,標準,考取級分
國立臺灣科技大學,企業管理系,總級分(68),1,0
國立臺灣科技大學,資訊管理系,總級分(70),1,0
國立雲林科技大學,資訊管理系,總級分(64),1,0
國立臺北科技大學,資訊與財金管理系,總級分(70),1,0
國立高雄科技大學,資訊管理系(資管類),總級分(61),1,0
國立臺北護理健康大學,資訊管理系,總級分(56),1,0
國立臺北商業大學,財政稅務系（臺北校區）,總級分(66),1,25
中國科技大學,財務金融系（臺北校區）,總級分(19),1,25
德明財經科技大學,財政稅務系,總級分(23),1,25
德明財經科技大學,財務金融系數位金融組,總級分(28),1,25
台北海洋科技大學,電競數位遊戲與動畫設計系（淡水校區）,總級分(24),1,25
台北海洋科技大學,視覺傳達設計系（淡水校區）,總級分(30),1,25
國立澎湖科技大學,應用外語系,總級分(28),1,26
國立澎湖科技大學,航運管理系,總級分(30),1,26
國立澎湖科技大學,觀光休閒系,總級分(30),1,26
國立澎湖科技大學,餐旅管理系,(111學年度商管群新增),1,26
逢甲大學,土地管理學系,總級分(33),1,26
實踐大學,國際經營與貿易學系（臺北校區）,總級分(31),1,26
朝陽科技大學,會計系,總級分(26),2,33
國立澎湖科技大學,航運管理系,總級分(30),1,33
國立臺中科技大學,老人服務事業管理系,總級分(26),1,33
明新科技大學,多媒體與遊戲發展系,總級分(17),1,33
健行科技大學,行銷與流通管理系,總級分(28),1,33
醒吾科技大學,行銷與流通管理系,總級分(21),1,33
文藻外語大學,西班牙語文系,總級分(27),1,33
致理科技大學,會計資訊系,總級分(26),1,33
致理科技大學,應用日語系,總級分(32),1,33
國立屏東大學,國際經營與貿易學系,總級分(27),1,33
靜宜大學,觀光事業學系,"總級分(33),英文(5)",1,33
明志科技大學,工業工程與管理系,總級分(25),1,38
德明財經科技大學,企業管理系,總級分(37),1,38
德明財經科技大學,行銷管理系,總級分(36),1,38
致理科技大學,商務科技管理系,總級分(22),1,38
銘傳大學,國際企業學系（台北校區）,總級分(36),1,38
長榮大學,企業管理學系,總級分(22),1,38
朝陽科技大學,企業管理系,總級分(40),2,39
明志科技大學,經營管理系,總級分(26),2,39
德明財經科技大學,企業管理系,總級分(37),2,39
國立勤益科技大學,人工智慧應用工程系,(111學年度資管類新增),1,39
健行科技大學,企業管理系,總級分(29),1,39
健行科技大學,行銷與流通管理系,總級分(28),1,39
明志科技大學,工業工程與管理系,總級分(25),1,39
明志科技大學,數位行銷設計學士學位學程,(111學年度商管群新增),1,39
德明財經科技大學,財政稅務系,總級分(23),1,39
德明財經科技大學,財務金融系,總級分(37),1,39
醒吾科技大學,企業管理系,總級分(27),1,39
致理科技大學,財務金融系,總級分(45),1,39
致理科技大學,應用英語系,總級分(29),1,39
國立臺中科技大學,保險金融管理系,總級分(56),1,40
國立臺中科技大學,老人服務事業管理系,總級分(26),1,40
朝陽科技大學,休閒事業管理系,總級分(41),1,40
朝陽科技大學,資訊管理系數位多媒體組,總級分(36),1,40
南臺科技大學,休閒事業管理系,總級分(30),1,40
弘光科技大學,護理系,總級分(40),1,40
中華科技大學,建築系室內設計組（台北校區）,總級分(29),1,40
長庚學校財團法人長庚科技大學,護理系（林口校區）,總級分(47),1,40
致理科技大學,休閒遊憩管理系,總級分(20),1,40
國立屏東大學,休閒事業經營學系,總級分(46),1,40
逢甲大學,國際經營與貿易學系,總級分(55),1,40
